Brand,Product,Price,Image_Link,Product_Link
Yves Saint LaurentÂ,Black Opium Eau de Parfum Glitter,$99.00 - $172.00,,https://www.ulta.com/p/black-opium-eau-de-parfum-glitter-pimprod2049235?sku=2633407
Marc JacobsÂ,Daisy Love Eau So Sweet Eau de Toilette,$82.00 - $142.00,,https://www.ulta.com/p/daisy-love-eau-so-sweet-eau-de-toilette-pimprod2005210?sku=2543978
ValentinoÂ,Donna Born In Roma Eau de Parfum,$110.00 - $180.00,,https://www.ulta.com/p/donna-born-in-roma-eau-de-parfum-pimprod2016295?sku=2568843
Billie EilishÂ,Eilish Eau de Parfum,$58.00 - $78.00,,https://www.ulta.com/p/eilish-eau-de-parfum-pimprod2030620?sku=2594569
Yves Saint LaurentÂ,MYSLF Eau de Parfum,$99.00 - $182.00,,https://www.ulta.com/p/myslf-eau-de-parfum-pimprod2040826?sku=2614198
BurberryÂ,Burberry Goddess Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/burberry-goddess-eau-de-parfum-pimprod2040465?sku=2612791
BurberryÂ,Her Elixir de Parfum,$118.00 - $190.00,,https://www.ulta.com/p/her-elixir-de-parfum-pimprod2034780?sku=2599352
Miu MiuÂ,Miutine Eau de Parfum,$108.00 - $172.00,,https://www.ulta.com/p/miutine-eau-de-parfum-pimprod2054202?sku=2644660
Dolce&GabbanaÂ,My Devotion Eau de Parfum Intense,$108.00 - $175.00,,https://www.ulta.com/p/my-devotion-eau-de-parfum-intense-pimprod2054149?sku=2645603
Ralph LaurenÂ,Romance Eau de Parfum,$70.00 - $160.00,,https://www.ulta.com/p/romance-eau-de-parfum-fs300428?sku=2018587
BETTER WORLD FRAGRANCE HOUSEÂ,Summer Mink Eau de Parfum,$84.00 - $148.00,,https://www.ulta.com/p/summer-mink-eau-de-parfum-pimprod2052027?sku=2638929
BurberryÂ,Her Eau de Parfum,$111.00 - $225.00,,https://www.ulta.com/p/her-eau-de-parfum-pimprod2001011?sku=2534517
Carolina HerreraÂ,Good Girl Eau de Parfum,$91.00 - $187.00,,https://www.ulta.com/p/good-girl-eau-de-parfum-xlsImpprod16461053?sku=2580881
KYLIE COSMETICSÂ,Cosmic Kylie Jenner Eau de Parfum,$54.00 - $84.00,,https://www.ulta.com/p/cosmic-kylie-jenner-eau-de-parfum-pimprod2044205?sku=2621890
PhilosophyÂ,Fresh Cream Warm Cashmere Eau de Toilette,$28.00 - $58.00,,https://www.ulta.com/p/fresh-cream-warm-cashmere-eau-de-toilette-xlsImpprod18591001?sku=2529811
ValentinoÂ,Donna Born in Roma Coral Fantasy Eau de Parfum,$110.00 - $180.00,,https://www.ulta.com/p/donna-born-in-roma-coral-fantasy-eau-de-parfum-pimprod2032201?sku=2595425
Carolina HerreraÂ,Good Girl Blush Eau de Parfum,$102.00 - $200.00,,https://www.ulta.com/p/good-girl-blush-eau-de-parfum-pimprod2037334?sku=2607898
Yves Saint LaurentÂ,Libre Eau de Parfum,$110.00 - $225.00,,https://www.ulta.com/p/libre-eau-de-parfum-pimprod2008599?sku=2553364
Ariana GrandeÂ,Cloud Eau de Parfum,$50.00 - $72.00,,https://www.ulta.com/p/cloud-eau-de-parfum-pimprod2000100?sku=2536254
LancÃ´meÂ,La Vie Est Belle Eau de Parfum,$95.00 - $164.00,,https://www.ulta.com/p/la-vie-est-belle-eau-de-parfum-xlsImpprod4570079?sku=2250012
Dolce&GabbanaÂ,Light Blue Eau de Toilette,$89.00 - $198.00,,https://www.ulta.com/p/light-blue-eau-de-toilette-pimprod2051153?sku=2636289
ValentinoÂ,Donna Born in Roma Intense Eau de Parfum,$115.00 - $185.00,,https://www.ulta.com/p/donna-born-in-roma-intense-eau-de-parfum-pimprod2037332?sku=2607893
SnifÂ,Vanilla Vice Eau de Toilette,$65.00,,https://www.ulta.com/p/vanilla-vice-eau-de-toilette-pimprod2043894?sku=2620987
CoachÂ,Dreams Moonlight Eau de Parfum,$78.00 - $120.00,,https://www.ulta.com/p/dreams-moonlight-eau-de-parfum-pimprod2045937?sku=2626290
ValentinoÂ,Born in Roma Donna Extradose Parfum,$120.00 - $205.00,,https://www.ulta.com/p/born-in-roma-donna-extradose-parfum-pimprod2050294?sku=2636423
DiorÂ,Miss Dior Eau de Parfum,$115.00 - $225.00,,https://www.ulta.com/p/miss-dior-eau-de-parfum-pimprod2027834?sku=2585910
CHANELÂ,COCO MADEMOISELLE Eau de Parfum Spray,$143.00 - $176.00,,https://www.ulta.com/p/coco-mademoiselle-eau-de-parfum-spray-pimprod2015831?sku=2055113
DiorÂ,Miss Dior Blooming Bouquet Eau de Toilette,$98.00 - $188.00,,https://www.ulta.com/p/miss-dior-blooming-bouquet-eau-de-toilette-xlsImpprod13231193?sku=2604917
PradaÂ,Paradoxe Eau de Parfum,$110.00 - $180.00,,https://www.ulta.com/p/paradoxe-eau-de-parfum-pimprod2034721?sku=2599792
LancÃ´meÂ,La Vie Est Belle Vanille Nude Eau de Parfum,$35.00 - $164.00,,https://www.ulta.com/p/la-vie-est-belle-vanille-nude-eau-de-parfum-pimprod2053620?sku=2642178
Ariana GrandeÂ,MOD Vanilla Eau de Parfum,$50.00 - $72.00,,https://www.ulta.com/p/mod-vanilla-eau-de-parfum-pimprod2036424?sku=2604557
KHLOÃ KARDASHIANÂ,XO KHLOÃ,$58.00 - $80.00,,https://www.ulta.com/p/xo-khloe-pimprod2049077?sku=2632566
Yves Saint LaurentÂ,Libre Eau de Parfum Intense,$115.00 - $185.00,,https://www.ulta.com/p/libre-eau-de-parfum-intense-pimprod2018118?sku=2569350
CHANELÂ,CHANCE EAU TENDRE Eau de Parfum Spray,$143.00 - $176.00,,https://www.ulta.com/p/chance-eau-tendre-eau-de-parfum-spray-pimprod2015977?sku=2539926
Marc JacobsÂ,Perfect Absolute Eau de Parfum,$99.00 - $170.00,,https://www.ulta.com/p/perfect-absolute-eau-de-parfum-pimprod2054176?sku=2645575
GucciÂ,Flora Gorgeous Gardenia Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/flora-gorgeous-gardenia-eau-de-parfum-pimprod2026913?sku=2586738
Yves Saint LaurentÂ,Black Opium Eau de Parfum,$99.00 - $220.00,,https://www.ulta.com/p/black-opium-eau-de-parfum-xlsImpprod12951153?sku=2292759
VersaceÂ,Bright Crystal Eau de Toilette,$78.00 - $179.00,,https://www.ulta.com/p/bright-crystal-eau-de-toilette-VP12312?sku=2137636
Ariana GrandeÂ,God Is A Woman Eau de Parfum,$50.00 - $72.00,,https://www.ulta.com/p/god-a-woman-eau-de-parfum-pimprod2026595?sku=2586366
MUGLERÂ,Alien Goddess Supra Florale Eau de Parfum,sale price $75.00 - $98.00$75.00 - $98.00list price $98.00 - $150.00$98.00 - $150.00,,https://www.ulta.com/p/alien-goddess-supra-florale-eau-de-parfum-pimprod2040063?sku=2609078
NematÂ,Vanilla Musk Eau de Parfum,sale price $44.99$44.99list price $59.99$59.99,,https://www.ulta.com/p/vanilla-musk-eau-de-parfum-pimprod2042584?sku=2619850
BurberryÂ,Her Eau de Parfum Intense,$118.00 - $190.00,,https://www.ulta.com/p/her-eau-de-parfum-intense-pimprod2049463?sku=2633370
PradaÂ,Paradoxe Intense Eau De Parfum,$115.00 - $185.00,,https://www.ulta.com/p/paradoxe-intense-eau-de-parfum-pimprod2040815?sku=2615496
DiorÂ,Miss Dior Essence,$134.00 - $198.00,,https://www.ulta.com/p/miss-dior-essence-pimprod2053866?sku=2644842
PradaÂ,Paradoxe Virtual Flower Eau de Parfum,$110.00 - $180.00,,https://www.ulta.com/p/paradoxe-virtual-flower-eau-de-parfum-pimprod2045966?sku=2628684
DIMEÂ,7 Summers Eau de Toilette,$62.00,,https://www.ulta.com/p/7-summers-eau-de-toilette-pimprod2038419?sku=2610033
ValentinoÂ,Donna Born in Roma Green Stravaganza Eau de Parfum,$110.00 - $180.00,,https://www.ulta.com/p/donna-born-in-roma-green-stravaganza-eau-de-parfum-pimprod2043968?sku=2620990
PhilosophyÂ,Amazing Grace Eau de Toilette,$31.00 - $88.00,,https://www.ulta.com/p/amazing-grace-eau-de-toilette-xlsImpprod1500098?sku=2154026
DiorÂ,J'adore Eau de Parfum,$115.00 - $225.00,,https://www.ulta.com/p/jadore-eau-de-parfum-pimprod2051019?sku=2636409
Marc JacobsÂ,Perfect Eau de Parfum,$96.00 - $165.00,,https://www.ulta.com/p/perfect-eau-de-parfum-pimprod2016739?sku=2568117
LancÃ´meÂ,IdÃ´le Eau de Parfum,$69.00 - $157.00,,https://www.ulta.com/p/idole-eau-de-parfum-pimprod2008623?sku=2553350
DiorÂ,Miss Dior Parfum,$122.00 - $225.00,,https://www.ulta.com/p/miss-dior-parfum-pimprod2043892?sku=2621580
KYLIE COSMETICSÂ,Cosmic Kylie Jenner 2.0 Eau de Parfum,$54.00 - $84.00,,https://www.ulta.com/p/cosmic-kylie-jenner-20-eau-de-parfum-pimprod2050799?sku=2636315
AzzaroÂ,The Most Wanted Eau de Parfum Intense,$110.00 - $135.00,,https://www.ulta.com/p/most-wanted-eau-de-parfum-intense-pimprod2023922?sku=2579632
BurberryÂ,Burberry Goddess Eau de Parfum Intense,$118.00 - $190.00,,https://www.ulta.com/p/burberry-goddess-eau-de-parfum-intense-pimprod2046411?sku=2628071
Carolina HerreraÂ,Good Girl Blush Elixir,$106.00 - $182.00,,https://www.ulta.com/p/good-girl-blush-elixir-pimprod2044153?sku=2619805
Ariana GrandeÂ,r.e.m. Cherry Eclipse Eau de Parfum,$62.00 - $72.00,,https://www.ulta.com/p/rem-cherry-eclipse-eau-de-parfum-pimprod2050089?sku=2635789
CHANELÂ,CHANCE EAU SPLENDIDE Eau de Parfum Spray,$143.00 - $176.00,,https://www.ulta.com/p/chance-eau-splendide-eau-de-parfum-spray-pimprod2051175?sku=2638381
Juicy CoutureÂ,Just Moi Eau de Parfum,$116.00 - $143.00,,https://www.ulta.com/p/just-moi-eau-de-parfum-pimprod2052592?sku=2645387
ARMANIÂ,Acqua di Gioia Eau de Parfum,$75.00 - $140.00,,https://www.ulta.com/p/acqua-di-gioia-eau-de-parfum-xlsImpprod2570029?sku=2222169
Carolina HerreraÂ,Very Good Girl Eau de Parfum,$102.00 - $176.00,,https://www.ulta.com/p/very-good-girl-eau-de-parfum-pimprod2025902?sku=2583474
Billie EilishÂ,Your Turn Eau de Parfum,$70.00 - $90.00,,https://www.ulta.com/p/your-turn-eau-de-parfum-pimprod2050411?sku=2637738
CHANELÂ,COCO MADEMOISELLE Eau de Parfum Intense Spray,$147.00 - $182.00,,https://www.ulta.com/p/coco-mademoiselle-eau-de-parfum-intense-spray-pimprod2015973?sku=2523367
Jimmy ChooÂ,I Want Choo Le Parfum,$100.00 - $170.00,,https://www.ulta.com/p/i-want-choo-le-parfum-pimprod2046788?sku=2626277
Yves Saint LaurentÂ,Libre Flower & Flames Eau de Parfum Florale,$110.00 - $180.00,,https://www.ulta.com/p/libre-flower-flames-eau-de-parfum-florale-pimprod2045994?sku=2628280
Yves Saint LaurentÂ,Mon Paris Eau de Parfum,$95.00 - $162.00,,https://www.ulta.com/p/mon-paris-eau-de-parfum-xlsImpprod14421031?sku=2306791
LancÃ´meÂ,La Vie Est Belle L'Elixir Eau de Parfum,$99.00 - $172.00,,https://www.ulta.com/p/la-vie-est-belle-lelixir-eau-de-parfum-pimprod2047753?sku=2629145
OrebellaÂ,ETERNAL ROOTS Parfum,$72.00 - $100.00,,https://www.ulta.com/p/eternal-roots-parfum-pimprod2053934?sku=2638392
VersaceÂ,Dylan Purple Pour Femme Eau de Parfum,$88.00 - $148.00,,https://www.ulta.com/p/dylan-purple-pour-femme-eau-de-parfum-pimprod2037859?sku=2608163
GucciÂ,Flora Gorgeous Orchid Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/flora-gorgeous-orchid-eau-de-parfum-pimprod2046427?sku=2628082
NematÂ,Amber Eau de Parfum,sale price $44.99$44.99list price $59.99$59.99,,https://www.ulta.com/p/amber-eau-de-parfum-pimprod2035311?sku=2603333
Yves Saint LaurentÂ,Black Opium Eau de Parfum Over Red,$99.00 - $172.00,,https://www.ulta.com/p/black-opium-eau-de-parfum-over-red-pimprod2042984?sku=2618439
Viktor&RolfÂ,Flowerbomb Eau de Parfum,$105.00 - $245.00,,https://www.ulta.com/p/flowerbomb-eau-de-parfum-xlsImpprod18531267?sku=2216988
CHANELÂ,CHANCE EAU FRAÃCHE Eau de Parfum Spray,$110.00 - $176.00,,https://www.ulta.com/p/chance-eau-fraiche-eau-de-parfum-spray-pimprod2040508?sku=2613585
VersaceÂ,Crystal Noir Eau de Toilette,$78.00 - $110.00,,https://www.ulta.com/p/crystal-noir-eau-de-toilette-VP11936?sku=2137639
CliniqueÂ,Clinique Happy Eau de Parfum Spray,$65.00 - $108.00,,https://www.ulta.com/p/clinique-happy-eau-de-parfum-spray-VP11390?sku=2135390
Sol de JaneiroÂ,SOL Cheirosa '62 Eau de Parfum,$28.00 - $80.00,,https://www.ulta.com/p/sol-cheirosa-62-eau-de-parfum-pimprod2043089?sku=2618630
CHANELÂ,CHANCE EAU TENDRE Eau de Toilette Spray,$116.00 - $150.00,,https://www.ulta.com/p/chance-eau-tendre-eau-de-toilette-spray-pimprod2015950?sku=2217136
Lake & SkyeÂ,11 11 Azure Eau de Parfum,$98.00,,https://www.ulta.com/p/11-11-azure-eau-de-parfum-pimprod2042863?sku=2620161
Ariana GrandeÂ,Sweet Like Candy Eau de Parfum,$62.00 - $72.00,,https://www.ulta.com/p/sweet-like-candy-eau-de-parfum-xlsImpprod14501028?sku=2306622
Marc JacobsÂ,Daisy Wild Eau de Parfum,$96.00 - $165.00,,https://www.ulta.com/p/daisy-wild-eau-de-parfum-pimprod2043278?sku=2621785
DiorÂ,J'adore Parfum D'eau Eau de Parfum,$115.00 - $180.00,,https://www.ulta.com/p/jadore-parfum-deau-eau-de-parfum-pimprod2034598?sku=2600702
Jimmy ChooÂ,I Want Choo Eau de Parfum,$84.00 - $150.00,,https://www.ulta.com/p/i-want-choo-eau-de-parfum-pimprod2020915?sku=2574778
Carolina HerreraÂ,Very Good Girl Glam Eau de Parfum,$102.00 - $176.00,,https://www.ulta.com/p/very-good-girl-glam-eau-de-parfum-pimprod2032391?sku=2595863
GucciÂ,Flora Gorgeous Gardenia Eau de Parfum Intense,$118.00 - $190.00,,https://www.ulta.com/p/flora-gorgeous-gardenia-eau-de-parfum-intense-pimprod2052375?sku=2640483
VersaceÂ,Bright Crystal Absolu Eau de Parfum,$128.00 - $148.00,,https://www.ulta.com/p/bright-crystal-absolu-eau-de-parfum-xlsImpprod6440485?sku=2273059
Carolina HerreraÂ,Very Good Girl Elixir Eau de Parfum,$106.00 - $182.00,,https://www.ulta.com/p/very-good-girl-elixir-eau-de-parfum-pimprod2050460?sku=2636668
Yves Saint LaurentÂ,Black Opium Le Parfum,$118.00 - $205.00,,https://www.ulta.com/p/black-opium-le-parfum-pimprod2037133?sku=2606620
