Brand,Product,Price,Image_Link,Product_Link
Yves Saint LaurentÂ,Black Opium Eau de Parfum Glitter,$99.00 - $172.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/black-opium-eau-de-parfum-glitter-pimprod2049235?sku=2633407
Marc JacobsÂ,Daisy Love Eau So Sweet Eau de Toilette,$82.00 - $142.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/daisy-love-eau-so-sweet-eau-de-toilette-pimprod2005210?sku=2543978
ValentinoÂ,Donna Born In Roma Eau de Parfum,$110.00 - $180.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/donna-born-in-roma-eau-de-parfum-pimprod2016295?sku=2568843
Billie EilishÂ,Eilish Eau de Parfum,$58.00 - $78.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/eilish-eau-de-parfum-pimprod2030620?sku=2594569
Yves Saint LaurentÂ,MYSLF Eau de Parfum,$99.00 - $182.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/myslf-eau-de-parfum-pimprod2040826?sku=2614198
BurberryÂ,Burberry Goddess Eau de Parfum,$111.00 - $181.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/burberry-goddess-eau-de-parfum-pimprod2040465?sku=2612791
BurberryÂ,Her Elixir de Parfum,$118.00 - $190.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/her-elixir-de-parfum-pimprod2034780?sku=2599352
Miu MiuÂ,Miutine Eau de Parfum,$108.00 - $172.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/miutine-eau-de-parfum-pimprod2054202?sku=2644660
Dolce&GabbanaÂ,My Devotion Eau de Parfum Intense,$108.00 - $175.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/my-devotion-eau-de-parfum-intense-pimprod2054149?sku=2645603
Ralph LaurenÂ,Romance Eau de Parfum,$70.00 - $160.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/romance-eau-de-parfum-fs300428?sku=2018587
BETTER WORLD FRAGRANCE HOUSEÂ,Summer Mink Eau de Parfum,$84.00 - $148.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/summer-mink-eau-de-parfum-pimprod2052027?sku=2638929
BurberryÂ,Her Eau de Parfum,$111.00 - $225.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/her-eau-de-parfum-pimprod2001011?sku=2534517
Carolina HerreraÂ,Good Girl Eau de Parfum,$91.00 - $187.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/good-girl-eau-de-parfum-xlsImpprod16461053?sku=2580881
KYLIE COSMETICSÂ,Cosmic Kylie Jenner Eau de Parfum,$54.00 - $84.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/cosmic-kylie-jenner-eau-de-parfum-pimprod2044205?sku=2621890
PhilosophyÂ,Fresh Cream Warm Cashmere Eau de Toilette,$28.00 - $58.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/fresh-cream-warm-cashmere-eau-de-toilette-xlsImpprod18591001?sku=2529811
ValentinoÂ,Donna Born in Roma Coral Fantasy Eau de Parfum,$110.00 - $180.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/donna-born-in-roma-coral-fantasy-eau-de-parfum-pimprod2032201?sku=2595425
Carolina HerreraÂ,Good Girl Blush Eau de Parfum,$102.00 - $200.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/good-girl-blush-eau-de-parfum-pimprod2037334?sku=2607898
Yves Saint LaurentÂ,Libre Eau de Parfum,$110.00 - $225.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/libre-eau-de-parfum-pimprod2008599?sku=2553364
Ariana GrandeÂ,Cloud Eau de Parfum,$50.00 - $72.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/cloud-eau-de-parfum-pimprod2000100?sku=2536254
LancÃ´meÂ,La Vie Est Belle Eau de Parfum,$95.00 - $164.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/la-vie-est-belle-eau-de-parfum-xlsImpprod4570079?sku=2250012
Dolce&GabbanaÂ,Light Blue Eau de Toilette,$89.00 - $198.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/light-blue-eau-de-toilette-pimprod2051153?sku=2636289
ValentinoÂ,Donna Born in Roma Intense Eau de Parfum,$115.00 - $185.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/donna-born-in-roma-intense-eau-de-parfum-pimprod2037332?sku=2607893
SnifÂ,Vanilla Vice Eau de Toilette,$65.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/vanilla-vice-eau-de-toilette-pimprod2043894?sku=2620987
CoachÂ,Dreams Moonlight Eau de Parfum,$78.00 - $120.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/dreams-moonlight-eau-de-parfum-pimprod2045937?sku=2626290
ValentinoÂ,Born in Roma Donna Extradose Parfum,$120.00 - $205.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/born-in-roma-donna-extradose-parfum-pimprod2050294?sku=2636423
DiorÂ,Miss Dior Eau de Parfum,$115.00 - $225.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/miss-dior-eau-de-parfum-pimprod2027834?sku=2585910
CHANELÂ,COCO MADEMOISELLE Eau de Parfum Spray,$143.00 - $176.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/coco-mademoiselle-eau-de-parfum-spray-pimprod2015831?sku=2055113
DiorÂ,Miss Dior Blooming Bouquet Eau de Toilette,$98.00 - $188.00,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR42mNkYAAAAAYAAjCB0C8AAAAASUVORK5CYII=",https://www.ulta.com/p/miss-dior-blooming-bouquet-eau-de-toilette-xlsImpprod13231193?sku=2604917
