Brand,Product,Price,Image_Link,Product_Link,summary,Fragrance Family,Key Notes,Benefits,How To Use,Ingredients
Yves Saint LaurentÂ,Black Opium Eau de Parfum Glitter,$99.00 - $172.00,,https://www.ulta.com/p/black-opium-eau-de-parfum-glitter-pimprod2049235?sku=2633407,"Black Opium Eau de Parfum Glitter, the iconic coffee floral from Yves Saint Laurent becomes fluffy, sweet and sexy with a sought-after marshmallow musk accord. This long-lasting, sweet and sensual interpretation of Black Opium Propels the iconic gourmand perfume further in to the yummy universe.",Warm & Sweet Gourmands,"Marshmallow Musk Accord, Coffee Accord, Vanilla Bourbon Absolu, Orange Flowers Item 2633407",,,
Marc JacobsÂ,Daisy Love Eau So Sweet Eau de Toilette,$82.00 - $142.00,,https://www.ulta.com/p/daisy-love-eau-so-sweet-eau-de-toilette-pimprod2005210?sku=2543978,Daisy Love Eau So Sweet captures the addictive and irresistible spirit of Daisy Love with an unexpected sweet freshness. Sparkling white raspberry notes reveal a lustrous personality while a soft floral airiness and delicate musky tones immerse you in the sweetness of the moment.,Floral,"Top - White Raspberry, Bergamot, Crystallized CloudberriesMiddle - Daisy Tree Petals, Jasmine MilkBase - Sugar Musk, White Iris Woods Item 2543978",,,
ValentinoÂ,Donna Born In Roma Eau de Parfum,$110.00 - $180.00,,https://www.ulta.com/p/donna-born-in-roma-eau-de-parfum-pimprod2016295?sku=2568843,"Valentino Donna Born In Roma Eau de Parfum is a modern haute couture floriental. Three qualities of jasmine bring a luxurious femininity that is blended with vanilla bourbon, the most expensive extract in the world.",Warm Floral,Top - blackcurrantMiddle - jasmine grandiflorum absoluteBase - bourbon vanilla Item 2568843,,,
Billie EilishÂ,Eilish Eau de Parfum,$58.00 - $78.00,,https://www.ulta.com/p/eilish-eau-de-parfum-pimprod2030620?sku=2594569,"Eilish Eau de Parfum is a captivating Amber Gourmand fragrance featuring notes of sugared petals, creamy vanilla, and warm musks.",Amber Gourmand,"Top - sugared petals, mandarin, warm berriesMiddle - creamy vanilla, soft spices, cocoaBase - sleek woods, warm musks, tonka beans Item 2594569",,,
Yves Saint LaurentÂ,MYSLF Eau de Parfum,$99.00 - $182.00,,https://www.ulta.com/p/myslf-eau-de-parfum-pimprod2040826?sku=2614198,"MYSLF Eau De Parfum is a refillable woody floral fragrance by YSL Beauty with a unique, long-lasting trail of modernity. A statement of modern Masculinity to celebrate your true self. Unapologetically. Proudly. My scent, MYSLF.",Woody,Fresh AccordOrange Blossom Absolute HeartWoods Heart Item 2614198,,,
BurberryÂ,Burberry Goddess Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/burberry-goddess-eau-de-parfum-pimprod2040465?sku=2612791,"The power within. Burberry Goddess tells a story of self-discovery. An elegant design, Burberry Goddess Eau de Parfum is the first refillable perfume by Burberry. This scent is a unique aromatic gourmand fragrance led by a powerful trio of vanillas, enriched with luminous lavender.",Ambery,Top- Vanilla Infusion and LavenderMiddle- Vanilla CaviarBase- Vanilla Absolute,,,
BurberryÂ,Her Elixir de Parfum,$118.00 - $190.00,,https://www.ulta.com/p/her-elixir-de-parfum-pimprod2034780?sku=2599352,"Burberry Her Elixir de Parfum: a bold and sensual fragrance for women. An intense addition to the Burberry Her family, Her Elixir de Parfum offers signature fruity gourmand notes alongside a daring burst of dark red berries with jasmine, rounded with sensual and addictive vanilla and amber.",Gourmand,"Top - strawberry, blackberry accordMiddle - jasmine accordBase - vanilla, amber, sandalwood Item 2599352",,,
Miu MiuÂ,Miutine Eau de Parfum,$108.00 - $172.00,,https://www.ulta.com/p/miutine-eau-de-parfum-pimprod2054202?sku=2644660,"Miu Miu Miutine Eau de Parfum a warm floral gourmand fragrance created with wild strawberry, rich vanilla & brown sugar. A bold scent for the unconventional It-girl.",Warm Floral Gourmand,"Top Note: Wild Strawberry AccordHeart Note: Gardenia accordBase Note: Brown Sugar, Vanilla, Patchouli oilCheeky but sophisticated. Youthful yet assertive. Irreverently carefreeâ¦ Thatâs Miutine. That's Miu Miu. Item 2644660",,,
Dolce&GabbanaÂ,My Devotion Eau de Parfum Intense,$108.00 - $175.00,,https://www.ulta.com/p/my-devotion-eau-de-parfum-intense-pimprod2054149?sku=2645603,Dolce&Gabbana My Devotion Eau de Parfum Intense is a tribute to personal dedication and authenticity. A fragrance that reflects the uniqueness of its wearer through a harmonious contrast of radiant notes and enveloping accents.,Floral Gourmand Item 2645603,"Top: The fragrance opens with the soft, elegant signature of Pear Blossom, intertwined with the vibrant fruity note of Blackcurrant.Heart: At the heart, a radiant bouquet of Peony blooms, revealing green nuances and delicate sweetness.Base: In the dry down, warm and sensual facets of Madagascar Vanilla take center stage, leaving a lasting impression of elegance and depth.",,,
Ralph LaurenÂ,Romance Eau de Parfum,$70.00 - $160.00,,https://www.ulta.com/p/romance-eau-de-parfum-fs300428?sku=2018587,"Ralph Lauren Romance Eau de Parfum is a clean and fresh women's fragrance with notes of mandarin, violet leaves, jasmine, woody oakmoss, and white musk.",Fresh Floral,"Top - Mandarin Essence, Pink Pepper, White Violet LeavesMiddle - Rose, Jasmine, Marigold, GeraniumBase - Patchouli, Oakmoss, Musks Item 2018587",,,
