Brand,Product,Price,Image_Link,Product_Link,summary,Fragrance Family,Key Notes,ProductLink,Benefits,HowToUse,Ingredients
Yves Saint LaurentÂ,Black Opium Eau de Parfum Glitter,$99.00 - $172.00,,https://www.ulta.com/p/black-opium-eau-de-parfum-glitter-pimprod2049235?sku=2633407,"Black Opium Eau de Parfum Glitter, the iconic coffee floral from Yves Saint Laurent becomes fluffy, sweet and sexy with a sought-after marshmallow musk accord. This long-lasting, sweet and sensual interpretation of Black Opium Propels the iconic gourmand perfume further in to the yummy universe.",Warm & Sweet Gourmands,"Marshmallow Musk Accord, Coffee Accord, Vanilla Bourbon Absolu, Orange Flowers Item 2633407",https://www.ulta.com/p/black-opium-eau-de-parfum-glitter-pimprod2049235?sku=2633407,,"Spray on pulse points, including wrists, neck and dÃ©colletage, wherever you feel a heartbeat. For an always more sensorial trail, spray BLACK OPIUM GLITTER on your pulse points : neck, neckline and wrist. A dose of sensuality on your skin to shine all night long.","Alcohol, Parfum / Fragrance, Aqua / Water / Eau, Benzyl Salicylate, Benzyl Alcohol, Linalool, Alpha-Isomethyl Ionone, Hydroxycitronellal, Methyl Anthranilate, Butyl Methoxydibenzoylmethane, Hexyl Cinnamal, Coumarin, Farnesol, Limonene, Citronellol, Cinnamyl Alcohol, Geraniol, Isoeugenol, Amyl Cinnamal, Cinnamal, Benzyl Benzoate, Citral, CI 17200 / Red 33, CI 14700 / Red 4, CI 60730 / Ext. Violet 2"
Marc JacobsÂ,Daisy Love Eau So Sweet Eau de Toilette,$82.00 - $142.00,,https://www.ulta.com/p/daisy-love-eau-so-sweet-eau-de-toilette-pimprod2005210?sku=2543978,Daisy Love Eau So Sweet captures the addictive and irresistible spirit of Daisy Love with an unexpected sweet freshness. Sparkling white raspberry notes reveal a lustrous personality while a soft floral airiness and delicate musky tones immerse you in the sweetness of the moment.,Floral,"Top - White Raspberry, Bergamot, Crystallized CloudberriesMiddle - Daisy Tree Petals, Jasmine MilkBase - Sugar Musk, White Iris Woods Item 2543978",https://www.ulta.com/p/daisy-love-eau-so-sweet-eau-de-toilette-pimprod2005210?sku=2543978,,Spray onto pulse points.,"Alcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Ethylhexyl Methoxycinnamate, Benzyl Salicylate, Benzophenone-3, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Hydroxycitronellal, Linalool, Hexyl Cinnamal, Limonene, Citronellol, Farnesol, Coumarin, Alpha-Isomethyl Ionone, Cinnamyl Alcohol, Alcohol, Geraniol, Tris(Tetramethylhydroxypiperidinol) Citrate, Citral, Propylene Glycol, Bht, Benzyl Benzoate, D&C Red No. 33 (Ci 17200), Fd&C Red No. 4 (Ci 14700), Fd&C Yellow No. 5 (Ci 19140)."
ValentinoÂ,Donna Born In Roma Eau de Parfum,$110.00 - $180.00,,https://www.ulta.com/p/donna-born-in-roma-eau-de-parfum-pimprod2016295?sku=2568843,"Valentino Donna Born In Roma Eau de Parfum is a modern haute couture floriental. Three qualities of jasmine bring a luxurious femininity that is blended with vanilla bourbon, the most expensive extract in the world.",Warm Floral,Top - blackcurrantMiddle - jasmine grandiflorum absoluteBase - bourbon vanilla Item 2568843,https://www.ulta.com/p/donna-born-in-roma-eau-de-parfum-pimprod2016295?sku=2568843,,"Spray onto pulse points: wrist, chest and neck.","Alcohol, Parfum / Fragrance, Aqua / Water, Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol, Limonene , Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Linalool, Alpha-Isomethyl Ionone, Isoeugenol, Methyl Anthranilate, Citronellol, Benzyl Benzoate, Coumarin, Geraniol, Benzyl Cinnamate, Tris (Tetramethylhydroxypiperidinol) Citrate, Citral, Farnesol, Eugenol, Ci 14700 / Red 4, Ci 60730 / Ext. Violet 2."
Billie EilishÂ,Eilish Eau de Parfum,$58.00 - $78.00,,https://www.ulta.com/p/eilish-eau-de-parfum-pimprod2030620?sku=2594569,"Eilish Eau de Parfum is a captivating Amber Gourmand fragrance featuring notes of sugared petals, creamy vanilla, and warm musks.",Amber Gourmand,"Top - sugared petals, mandarin, warm berriesMiddle - creamy vanilla, soft spices, cocoaBase - sleek woods, warm musks, tonka beans Item 2594569",https://www.ulta.com/p/eilish-eau-de-parfum-pimprod2030620?sku=2594569,,Precautions: Flammable liquid and vapor. Keep away from heat/sparks/open flame/ hot surfaces. No smoking. Avoid spraying in eyes.,"Alcohol Denat., Fragrance (Parfum), Water (Aqua), Citric Acid, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Propylene Glycol, Linalool, Hexyl Cinnamal, Alpha-Isomethyl Ionone, Benzyl Salicylate, Benzyl Benzoate, Limonene, Yellow 5, Red 4, Blue 1."
Yves Saint LaurentÂ,MYSLF Eau de Parfum,$99.00 - $182.00,,https://www.ulta.com/p/myslf-eau-de-parfum-pimprod2040826?sku=2614198,"MYSLF Eau De Parfum is a refillable woody floral fragrance by YSL Beauty with a unique, long-lasting trail of modernity. A statement of modern Masculinity to celebrate your true self. Unapologetically. Proudly. My scent, MYSLF.",Woody,Fresh AccordOrange Blossom Absolute HeartWoods Heart Item 2614198,https://www.ulta.com/p/myslf-eau-de-parfum-pimprod2040826?sku=2614198,,"For long-lasting wear, spray the fragrance on pulse points; wrists, neck, and chest.","Alcohol, Parfum / Fragrance, Aqua / Water / Eau, Limonene, Linalool, Coumarin, Citronellol, Butyl Methoxydibenzoylmethane, Alpha-Isomethyl Ionone, Citral, Methyl Anthranilate, Geraniol, Cinnamal, Isoeugenol, Farnesol, CI 60730 / Ext. Violet 2, Ci 14700 / Red 4, CI 19140 / Yellow 5, CI 42090 / Blue 1 (F.I.L. N70023131/1)."
BurberryÂ,Burberry Goddess Eau de Parfum,$111.00 - $181.00,,https://www.ulta.com/p/burberry-goddess-eau-de-parfum-pimprod2040465?sku=2612791,"The power within. Burberry Goddess tells a story of self-discovery. An elegant design, Burberry Goddess Eau de Parfum is the first refillable perfume by Burberry. This scent is a unique aromatic gourmand fragrance led by a powerful trio of vanillas, enriched with luminous lavender.",Ambery,Top- Vanilla Infusion and LavenderMiddle- Vanilla CaviarBase- Vanilla Absolute,https://www.ulta.com/p/burberry-goddess-eau-de-parfum-pimprod2040465?sku=2612791,,"Spray the Burberry Goddess perfume generously onto pulse points such as the neck, wrists and dÃ©colletage to increase the longevity of this refined Burberry scent. Gently press onto the skin to preserve the essence of the fragrance. Thanks to a sustainable and innovative refill system, all Burberry Goddess bottles can be refilled with ease. Remove the bottle cap, then unscrew the fragrance pump, and screw the refill onto the bottle's neck. The refill will stop automatically once the perfume bottle is filled. Unscrew the refill, screw the fragrance pump back onto the bottle and replace the cap. Please note, this refill is compatible with the 3.3oz, 1.6oz, & 1oz.","Alcohol Denat., Parfum/Fragrance, Propylene Glycol, Aqua/Water/Eau, Ethylhexyl Salicylate, Benzyl Salicylate, Linalool, Hydroxycitronellal, Limonene, Coumarin, Butyl Methoxydibenzoylmethane, Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Benzyl Cinnamate, Alcohol, Citral, Tris(Tetramethylhydroxypiperidinol) Citrate, Anise Alcohol, Benzyl Benzoate, Geraniol, Yellow 5 (CI 19140), Red 4 (CI 14700), Ext. Violet 2 (CI 60730)."
BurberryÂ,Her Elixir de Parfum,$118.00 - $190.00,,https://www.ulta.com/p/her-elixir-de-parfum-pimprod2034780?sku=2599352,"Burberry Her Elixir de Parfum: a bold and sensual fragrance for women. An intense addition to the Burberry Her family, Her Elixir de Parfum offers signature fruity gourmand notes alongside a daring burst of dark red berries with jasmine, rounded with sensual and addictive vanilla and amber.",Gourmand,"Top - strawberry, blackberry accordMiddle - jasmine accordBase - vanilla, amber, sandalwood Item 2599352",https://www.ulta.com/p/her-elixir-de-parfum-pimprod2034780?sku=2599352,,"To be applied to pulse points at the neck, wrists and heart for twists and turns to keep you on your toes all day and night. Precautions: Contains Alcohol.","Alcohol Denat., Parfum/Fragrance, Aqua/Water/Eau, Alpha-isomethyl Ionone, Limonene, Hexyl Cinnamal, Linalool, Citronellol."
Miu MiuÂ,Miutine Eau de Parfum,$108.00 - $172.00,,https://www.ulta.com/p/miutine-eau-de-parfum-pimprod2054202?sku=2644660,"Miu Miu Miutine Eau de Parfum a warm floral gourmand fragrance created with wild strawberry, rich vanilla & brown sugar. A bold scent for the unconventional It-girl.",Warm Floral Gourmand,"Top Note: Wild Strawberry AccordHeart Note: Gardenia accordBase Note: Brown Sugar, Vanilla, Patchouli oilCheeky but sophisticated. Youthful yet assertive. Irreverently carefreeâ¦ Thatâs Miutine. That's Miu Miu. Item 2644660",https://www.ulta.com/p/miutine-eau-de-parfum-pimprod2054202?sku=2644660,,"Exude the carefree spirit of a Miu Miu girl with your new signature scent - spray Miutine to the pulse points on your neck, collarbone, and wrist. To leave an even longer-lasting scent trail, apply to the crooks of your elbows and the back of the knees which will intensify the fragrance with the warmth of your body heat.","Alcohol, Parfum / Fragrance, Aqua / Water / Eau, Tetramethyl Acetyloctahydronaphthalenes, Alpha-Isomethyl Ionone, Linalool, Geraniol, Hydroxycitronellal, Geranyl Acetate, Butyl Methoxydibenzoylmethane, Linalyl Acetate, Pogostemon Cablin Oil, Hexyl Cinnamal, Carvone, Limonene, Citrus Aurantium Peel Oil, Benzyl Alcohol, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Hexadecanolactone, Coumarin, Citrus Limon Peel Oil, Rose Ketones, Citronellol, Methyl Anthranilate, Pinene, Benzaldehyde, Rose Flower Oil/Extract, Beta-Caryophyllene, Trimethylcyclopentenyl Methylisopentenol, Citral (F.I.L. N70062317/1)."
Dolce&GabbanaÂ,My Devotion Eau de Parfum Intense,$108.00 - $175.00,,https://www.ulta.com/p/my-devotion-eau-de-parfum-intense-pimprod2054149?sku=2645603,Dolce&Gabbana My Devotion Eau de Parfum Intense is a tribute to personal dedication and authenticity. A fragrance that reflects the uniqueness of its wearer through a harmonious contrast of radiant notes and enveloping accents.,Floral Gourmand Item 2645603,"Top: The fragrance opens with the soft, elegant signature of Pear Blossom, intertwined with the vibrant fruity note of Blackcurrant.Heart: At the heart, a radiant bouquet of Peony blooms, revealing green nuances and delicate sweetness.Base: In the dry down, warm and sensual facets of Madagascar Vanilla take center stage, leaving a lasting impression of elegance and depth.",https://www.ulta.com/p/my-devotion-eau-de-parfum-intense-pimprod2054149?sku=2645603,,,"Alcohol Denat., Parfum (Fragrance), Aqua (Water), Tetramethyl Acetyloctahydronaphthalenes, Hexamethylindanopyran, Hydroxycitronellal, Vanillin, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Citrus Aurantium Bergamia Peel Oil (Citrus Aurantium Bergamia (Bergamot) Peel Oil), Linalool, Geranyl Acetate, Linalyl Acetate, Limonene, Geraniol, Citronellol, Alcohol, Pinene, Benzaldehyde, Rose Ketones, Tris(Tetramethylhydroxypiperidinol) Citrate, Citrus Aurantium Flower Oil, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Citral, Methyl 2-Octynoate"
Ralph LaurenÂ,Romance Eau de Parfum,$70.00 - $160.00,,https://www.ulta.com/p/romance-eau-de-parfum-fs300428?sku=2018587,"Ralph Lauren Romance Eau de Parfum is a clean and fresh women's fragrance with notes of mandarin, violet leaves, jasmine, woody oakmoss, and white musk.",Fresh Floral,"Top - Mandarin Essence, Pink Pepper, White Violet LeavesMiddle - Rose, Jasmine, Marigold, GeraniumBase - Patchouli, Oakmoss, Musks Item 2018587",https://www.ulta.com/p/romance-eau-de-parfum-fs300428?sku=2018587,,"Spray onto pulse points; wrists, neck and chest. Precautions: Do not spray on naked flame or any incandescent material. Keep away from any ignition source. No smoking. Keep out of reach of children. Avoid spraying towards the eyes, or on sensitive skin. Do not use for any other purpose other than that which is was intended.","Alcohol, Parfum/Fragrance, Aqua/Water, Hydroxycitronellal, Citronellol, Geraniol, Benzyl Alcohol, Linalool, Alpha-Isomethyl, Ionone, T-Butyl Alcohol, Limonene, Hexyl Cinnamal, Coumarin, Cinnamyl Alcohol, Citral, Benzyl Benzoate, Eugenol, Farnesol, Denayonium Benzoate."
